seed,simulated_target_load,clip,window_weight_min,window_weight_median,window_weight_max,window_ess,window_ess_ratio,file_ess,file_ess_ratio,fraction_at_upper_clip,pseudo_labels_used,domain_classifier
20260916,0,2.0,0.5611824291871341,0.9956835474048857,1.6871429866564924,291.6954417064534,0.9172812632278409,38.89247667565187,0.9260113494202826,0.0,False,LogisticRegression on source-standardized 28 features; domain labels only
20260916,0,5.0,0.31974560176588807,0.9995097255364431,1.69362628108993,290.4620153946829,0.9134025641342229,38.73762450678903,0.9223243930187864,0.0,False,LogisticRegression on source-standardized 28 features; domain labels only
20260916,0,10.0,0.31974560176588807,0.9995097255364431,1.69362628108993,290.4620153946829,0.9134025641342229,38.73762450678903,0.9223243930187864,0.0,False,LogisticRegression on source-standardized 28 features; domain labels only
20260916,1,2.0,0.6236464261293496,0.9812311371820246,1.3735886425346382,289.2644957280507,0.9838928426124173,41.41694798323164,0.9861178091245628,0.0,False,LogisticRegression on source-standardized 28 features; domain labels only
20260916,1,5.0,0.6236464261293496,0.9812311371820246,1.3735886425346382,289.2644957280507,0.9838928426124173,41.41694798323164,0.9861178091245628,0.0,False,LogisticRegression on source-standardized 28 features; domain labels only
20260916,1,10.0,0.6236464261293496,0.9812311371820246,1.3735886425346382,289.2644957280507,0.9838928426124173,41.41694798323164,0.9861178091245628,0.0,False,LogisticRegression on source-standardized 28 features; domain labels only
20260916,2,2.0,0.6658624650784378,0.9784239205063732,1.7145528567677344,283.5526891395406,0.9644649290460564,40.572051496296055,0.966001226102287,0.0,False,LogisticRegression on source-standardized 28 features; domain labels only
20260916,2,5.0,0.6658624650784378,0.9784239205063732,1.7145528567677344,283.5526891395406,0.9644649290460564,40.572051496296055,0.966001226102287,0.0,False,LogisticRegression on source-standardized 28 features; domain labels only
20260916,2,10.0,0.6658624650784378,0.9784239205063732,1.7145528567677344,283.5526891395406,0.9644649290460564,40.572051496296055,0.966001226102287,0.0,False,LogisticRegression on source-standardized 28 features; domain labels only
20260916,3,2.0,0.5586224191912538,0.979921658888343,1.466543241233145,285.72465865302735,0.971852580452474,40.94385416149739,0.9748536705118427,0.0,False,LogisticRegression on source-standardized 28 features; domain labels only
20260916,3,5.0,0.5586224191912538,0.979921658888343,1.466543241233145,285.72465865302735,0.971852580452474,40.94385416149739,0.9748536705118427,0.0,False,LogisticRegression on source-standardized 28 features; domain labels only
20260916,3,10.0,0.5586224191912538,0.979921658888343,1.466543241233145,285.72465865302735,0.971852580452474,40.94385416149739,0.9748536705118427,0.0,False,LogisticRegression on source-standardized 28 features; domain labels only
