case_id,case_role,feature,feature_group,path_importance,rank,explained_label
C,target_prediction,td_skewness,time_shape,0.00018908348580967753,28,OR
D,target_prediction,env_rms,envelope,0.1222043864006003,1,OR
D,target_prediction,td_peak_abs,impact,0.10355865409298266,2,OR
D,target_prediction,td_std,time_energy,0.0998703810681178,3,OR
D,target_prediction,td_ptp,impact,0.09831756725180185,4,OR
D,target_prediction,env_entropy_0_500,envelope,0.08348344125885919,5,OR
D,target_prediction,td_rms,time_energy,0.07844457504747612,6,OR
D,target_prediction,fd_energy_ratio_1500_3000,spectrum,0.07096964858103155,7,OR
D,target_prediction,fd_f95_hz_0_6k,spectrum,0.05833391675402873,8,OR
D,target_prediction,env_energy_ratio_50_150,envelope,0.03532982510771668,9,OR
D,target_prediction,td_zero_cross_rate,time_shape,0.03478854495692015,10,OR
D,target_prediction,fd_dominant_hz_0_6k,spectrum,0.02784644551038628,11,OR
D,target_prediction,td_shape_factor,time_shape,0.025255933456550216,12,OR
D,target_prediction,td_kurtosis,impact,0.02496537886462485,13,OR
D,target_prediction,fd_energy_ratio_0_500,spectrum,0.020983317477604745,14,OR
D,target_prediction,env_dominant_hz_0_500,envelope,0.020450766165854457,15,OR
D,target_prediction,fd_centroid_hz_0_6k,spectrum,0.019657903792137395,16,OR
D,target_prediction,env_energy_ratio_150_300,envelope,0.01679527618110679,17,OR
D,target_prediction,env_kurtosis,envelope,0.014309251153196999,18,OR
D,target_prediction,fd_energy_ratio_500_1500,spectrum,0.013792405945632353,19,OR
D,target_prediction,fd_energy_ratio_3000_6000,spectrum,0.00846740687732256,20,OR
D,target_prediction,env_energy_ratio_0_50,envelope,0.0065284839608330675,21,OR
D,target_prediction,fd_entropy_0_6k,spectrum,0.004132996592226772,22,OR
D,target_prediction,td_impulse_factor,impact,0.0034692947655372897,23,OR
D,target_prediction,env_centroid_hz_0_500,envelope,0.002644884857363102,24,OR
D,target_prediction,td_skewness,time_shape,0.0018671568185497226,25,OR
D,target_prediction,env_energy_ratio_300_500,envelope,0.001765855355985584,26,OR
D,target_prediction,td_clearance_factor,impact,0.0011908691683136714,27,OR
D,target_prediction,td_crest_factor,impact,0.000575432537239233,28,OR
E,target_prediction,env_rms,envelope,0.1287744086827505,1,OR
E,target_prediction,td_peak_abs,impact,0.10897115938435971,2,OR
E,target_prediction,td_ptp,impact,0.10284851639037663,3,OR
E,target_prediction,td_std,time_energy,0.09418348085856706,4,OR
E,target_prediction,env_entropy_0_500,envelope,0.07971455777779254,5,OR
E,target_prediction,td_rms,time_energy,0.07416870071963567,6,OR
E,target_prediction,fd_energy_ratio_1500_3000,spectrum,0.06927113756850667,7,OR
E,target_prediction,fd_f95_hz_0_6k,spectrum,0.06045993867978983,8,OR
E,target_prediction,td_zero_cross_rate,time_shape,0.03523449255148314,9,OR
E,target_prediction,fd_dominant_hz_0_6k,spectrum,0.03144204682039524,10,OR
E,target_prediction,env_energy_ratio_50_150,envelope,0.027597770715084565,11,OR
E,target_prediction,env_dominant_hz_0_500,envelope,0.026350086288092375,12,OR
E,target_prediction,td_shape_factor,time_shape,0.025142659743199906,13,OR
E,target_prediction,td_kurtosis,impact,0.02422869004585506,14,OR
E,target_prediction,fd_energy_ratio_0_500,spectrum,0.019687802605232674,15,OR
E,target_prediction,fd_centroid_hz_0_6k,spectrum,0.018231888001984185,16,OR
E,target_prediction,env_energy_ratio_150_300,envelope,0.017851703125478964,17,OR
E,target_prediction,env_kurtosis,envelope,0.014157584153336561,18,OR
E,target_prediction,fd_energy_ratio_500_1500,spectrum,0.013109102930354857,19,OR
E,target_prediction,fd_energy_ratio_3000_6000,spectrum,0.009225634246116094,20,OR
E,target_prediction,env_energy_ratio_0_50,envelope,0.006595427562637294,21,OR
E,target_prediction,td_impulse_factor,impact,0.004480923282212213,22,OR
E,target_prediction,env_centroid_hz_0_500,envelope,0.0025771867088368807,23,OR
E,target_prediction,env_energy_ratio_300_500,envelope,0.002454907819590087,24,OR
E,target_prediction,td_clearance_factor,impact,0.0015245987369661052,25,OR
E,target_prediction,fd_entropy_0_6k,spectrum,0.0011718156300024446,26,OR
E,target_prediction,td_crest_factor,impact,0.0003210981002258197,27,OR
E,target_prediction,td_skewness,time_shape,0.0002226808711368008,28,OR
F,target_prediction,env_rms,envelope,0.12252739042515443,1,OR
F,target_prediction,td_peak_abs,impact,0.1038166582614924,2,OR
F,target_prediction,td_std,time_energy,0.09939422524636178,3,OR
F,target_prediction,td_ptp,impact,0.09791114955397885,4,OR
F,target_prediction,env_entropy_0_500,envelope,0.08385189220611254,5,OR
F,target_prediction,td_rms,time_energy,0.0781054948472593,6,OR
