outer_fold,C,weighting,mean_inner_file_macro_f1,min_inner_file_macro_f1,min_class_recall_mean_across_inner,mean_recall_OR,mean_recall_IR,mean_recall_B,mean_recall_N,convergence_warning_count
0,1.0,file_balanced,0.9132275132275133,0.8666666666666667,0.8000000000000002,0.8000000000000002,0.8888888888888888,1.0,1.0,0
1,1.0,file_and_class_balanced,0.6752645502645503,0.3142857142857143,0.5555555555555555,0.5666666666666668,0.5555555555555555,1.0,0.6666666666666666,0
2,1.0,file_balanced,0.8217893217893217,0.7142857142857143,0.6666666666666666,0.8111111111111112,0.8888888888888888,1.0,0.6666666666666666,0
3,1.0,file_balanced,0.7243867243867244,0.5151515151515151,0.6666666666666666,0.8222222222222223,0.6666666666666666,0.7777777777777777,0.6666666666666666,0
