outer_fold,selected_C,selected_weighting,train_files,test_files,train_windows,test_windows,file_macro_f1,file_accuracy,file_recall_OR,file_recall_IR,file_recall_B,file_recall_N,window_macro_f1_aux,window_accuracy_aux,convergence_warning_count
0,1.0,file_balanced,36,13,540,193,0.4464285714285714,0.5384615384615384,0.5,0.3333333333333333,1.0,0.0,0.42993549349521315,0.5233160621761658,0
1,1.0,file_and_class_balanced,37,12,553,180,1.0,1.0,1.0,1.0,1.0,1.0,0.9640717067811844,0.9555555555555556,0
2,1.0,file_balanced,37,12,553,180,0.8095238095238095,0.75,0.4,1.0,1.0,1.0,0.7956322272498744,0.7333333333333333,0
3,1.0,file_balanced,37,12,553,180,0.9272727272727272,0.9166666666666666,1.0,0.6666666666666666,1.0,1.0,0.8873868819649459,0.8611111111111112,0
