case_id,target_id,feature,abs_T1_input_shift_in_source_sd,raw_file_mean,adapted_file_mean
TGT_STABLE_OR,H,mean_abs,11.73043749334168,5.2721415610156885,4.012459634174536
TGT_STABLE_OR,H,std,8.773915149283805,6.682136968670909,5.093305854056115
TGT_STABLE_OR,H,envelope_rms,8.773913841526795,9.449968708140004,7.20302214953117
TGT_STABLE_OR,H,rms,8.770834691920701,6.682148424464843,5.093325951825856
TGT_STABLE_OR,H,peak_abs,6.611016548817317,31.161821410770465,23.679443514543244
TGT_STABLE_OR,H,peak_to_peak,6.241228533271374,56.26421203657682,42.77989871582898
TGT_STABLE_OR,H,mean,1.4536865974168895,-0.0005708271081716602,-0.000474592445702845
TGT_STABLE_OR,H,spectral_flatness,1.4263217871907339,0.3097599921199129,0.23628970335298247
TGT_STABLE_OR,H,band_ratio_1500_3000,1.4236903327279402,0.5174821781769242,0.4285307633843987
TGT_STABLE_OR,H,spectral_entropy,0.7132831737435474,0.7912662891089137,0.7448815997585869
TGT_STABLE_B,O,spectral_flatness,1.9911442973619866,0.5421619956155018,0.43959751976048256
TGT_STABLE_B,O,mean,1.95690930040248,0.0006034807066498133,0.0004739324901766372
TGT_STABLE_B,O,mean_abs,1.947695182642531,0.8541312884223051,0.6449765640598938
TGT_STABLE_B,O,envelope_rms,1.4915094361388035,1.5329628775984185,1.150996282621974
TGT_STABLE_B,O,std,1.4915094090950942,1.0839684482165883,0.8138773296462829
TGT_STABLE_B,O,rms,1.491214867218631,1.0840699873176467,0.8139388338080732
TGT_STABLE_B,O,band_ratio_1500_3000,1.1768324946002064,0.2832982600092016,0.20977039165040912
TGT_STABLE_B,O,peak_abs,1.0059740798016736,5.1413428505252305,4.0027769184474895
TGT_STABLE_B,O,peak_to_peak,1.002724977621293,9.753071640745645,7.586661982662151
TGT_STABLE_B,O,rolloff95_hz,0.900422424517836,4889.0625,4530.730319734027
TGT_LOW_BOOT,D,mean_abs,8.429760820691369,3.7815141905768317,2.8762779315331333
TGT_LOW_BOOT,D,std,6.263362726498304,4.752212154865642,3.6180063399403215
TGT_LOW_BOOT,D,envelope_rms,6.263361858500323,6.720642845270768,5.116633548225957
TGT_LOW_BOOT,D,rms,6.261444587345771,4.752409925327437,3.618159398325411
TGT_LOW_BOOT,D,mean,4.716000654852164,-0.0016940797616148927,-0.0013818785402313705
TGT_LOW_BOOT,D,peak_abs,4.198502293112551,19.96212474230325,15.210241197122196
TGT_LOW_BOOT,D,peak_to_peak,4.190303097300865,38.05464514778088,29.001401932652456
TGT_LOW_BOOT,D,spectral_flatness,1.7527516950463489,0.4440729191375074,0.3537881220263197
TGT_LOW_BOOT,D,band_ratio_1500_3000,1.2155747187550412,0.3200514209374638,0.2441029590187091
TGT_LOW_BOOT,D,spectral_entropy,0.6250049378955232,0.9229424942266112,0.8822985242664739
TGT_LOW_SETTING,N,peak_abs,9.73029010159427,45.64253070998594,34.62974515084646
TGT_LOW_SETTING,N,peak_to_peak,9.30386759386585,83.45648819250837,63.35527493591242
TGT_LOW_SETTING,N,mean_abs,7.858711159548859,3.5236209343751095,2.6797072762896694
TGT_LOW_SETTING,N,std,5.895444583085863,4.469384221070488,3.401803143669864
TGT_LOW_SETTING,N,envelope_rms,5.895443802115747,6.320663767563526,4.810876071684965
TGT_LOW_SETTING,N,rms,5.893405422403262,4.4693852395740645,3.401804410110699
TGT_LOW_SETTING,N,spectral_flatness,1.6260513594209178,0.3919407691033561,0.30818234656546983
TGT_LOW_SETTING,N,band_ratio_1500_3000,1.4813584791722592,0.5721895862553061,0.47963509634401114
TGT_LOW_SETTING,N,rolloff95_hz,0.6725280213299534,5049.609375,4781.970069701524
TGT_LOW_SETTING,N,spectral_entropy,0.6672607215596736,0.859913581338636,0.8165217246055227
