case_id,window_id,window_start_s,domain,explained_label,feature,window_score,score_drop_when_occluded
SRC_OR_REP,WIN-9229e6a5f10d3103b3a0,0.5,source,OR,band_ratio_3000_5500,1.0,0.020000000000000018
SRC_OR_REP,WIN-9229e6a5f10d3103b3a0,0.5,source,OR,envelope_rms,1.0,0.1333333333333333
SRC_OR_REP,WIN-9229e6a5f10d3103b3a0,0.5,source,OR,envelope_kurtosis,1.0,0.07194444444444459
SRC_OR_REP,WIN-9229e6a5f10d3103b3a0,0.5,source,OR,envelope_spectral_entropy,1.0,0.20666666666666667
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,mean,1.0,0.0
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,std,1.0,0.10333333333333339
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,rms,1.0,0.09571428571428575
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,mean_abs,1.0,0.020000000000000018
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,peak_abs,1.0,0.020000000000000018
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,peak_to_peak,1.0,0.0311111111111112
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,skewness,1.0,0.0
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,kurtosis,1.0,0.01666666666666672
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,crest_factor,1.0,0.026666666666666616
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,impulse_factor,1.0,0.05794871794871781
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,shape_factor,1.0,0.032777777777777684
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,clearance_factor,1.0,0.09266666666666667
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,zero_cross_rate,1.0,0.0
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,spectral_centroid_hz,1.0,0.0
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,spectral_rms_hz,1.0,0.0
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,spectral_entropy,1.0,0.0
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,spectral_flatness,1.0,0.023333333333333317
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,dominant_frequency_hz,1.0,0.0
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,rolloff95_hz,1.0,0.24
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,band_ratio_0_500,1.0,0.07333333333333336
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,band_ratio_500_1500,1.0,0.0033333333333332993
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,band_ratio_1500_3000,1.0,0.010000000000000009
SRC_OR_REP,WIN-ff675681894bc84fb826,1.0,source,OR,band_ratio_3000_5500,1.0,0.023333333333333317
