experiment_id,inner_macro_f1,inner_balanced_accuracy,inner_min_class_recall,mean_features_used,inner_macro_gain_vs_baseline,inner_bal_acc_gain_vs_baseline,inner_min_recall_gain_vs_baseline,contexts_nonworse_vs_baseline,eligible_for_promotion,complexity_rank,selected_by_inner_only,failure_status
E1_logreg_sqrt_class_balance,0.8385645604395605,0.8492063492063492,0.6071428571428571,28.0,-0.014236111111111005,-0.02083333333333337,-0.031746031746031744,2,False,1,False,failed_predeclared_promotion_rule
E2_logreg_corr95,0.865964590964591,0.8799603174603174,0.6388888888888888,21.5,0.013163919413919478,0.009920634920634885,0.0,3,True,2,False,eligible_but_not_selected
