experiment_id,outer_test_load,config,inner_macro_f1,inner_balanced_accuracy,inner_min_class_recall,mean_features_used
E0_baseline_logreg_fullbalance,0,"{""C"": 10.0}",0.9633699633699634,0.9761904761904763,0.9047619047619048,28.0
E0_baseline_logreg_fullbalance,0,"{""C"": 0.1}",0.9450549450549449,0.9642857142857143,0.8571428571428571,28.0
E0_baseline_logreg_fullbalance,0,"{""C"": 1.0}",0.9450549450549449,0.9642857142857143,0.8571428571428571,28.0
E0_baseline_logreg_fullbalance,1,"{""C"": 10.0}",0.8062881562881562,0.8253968253968255,0.5079365079365079,28.0
E0_baseline_logreg_fullbalance,1,"{""C"": 1.0}",0.7942002442002442,0.8134920634920636,0.5079365079365079,28.0
E0_baseline_logreg_fullbalance,1,"{""C"": 0.1}",0.7484126984126984,0.7579365079365079,0.4444444444444444,28.0
E0_baseline_logreg_fullbalance,2,"{""C"": 1.0}",0.7884310134310134,0.8134920634920636,0.5238095238095238,28.0
E0_baseline_logreg_fullbalance,2,"{""C"": 0.1}",0.7478327228327228,0.7738095238095237,0.4603174603174603,28.0
E0_baseline_logreg_fullbalance,2,"{""C"": 10.0}",0.7386065323565324,0.7420634920634921,0.4444444444444444,28.0
E0_baseline_logreg_fullbalance,3,"{""C"": 10.0}",0.8531135531135531,0.8650793650793651,0.6190476190476191,28.0
E0_baseline_logreg_fullbalance,3,"{""C"": 1.0}",0.8126373626373627,0.8253968253968255,0.5079365079365079,28.0
E0_baseline_logreg_fullbalance,3,"{""C"": 0.1}",0.7824786324786324,0.7976190476190476,0.5079365079365079,28.0
E1_logreg_sqrt_class_balance,0,"{""C"": 10.0}",0.9633699633699634,0.9761904761904763,0.9047619047619048,28.0
E1_logreg_sqrt_class_balance,0,"{""C"": 1.0}",0.9450549450549449,0.9642857142857143,0.8571428571428571,28.0
E1_logreg_sqrt_class_balance,0,"{""C"": 0.1}",0.9228937728937728,0.9365079365079364,0.7936507936507936,28.0
E1_logreg_sqrt_class_balance,1,"{""C"": 1.0}",0.7925976800976802,0.7976190476190476,0.5079365079365079,28.0
E1_logreg_sqrt_class_balance,1,"{""C"": 10.0}",0.7817460317460317,0.7817460317460316,0.4444444444444444,28.0
