outer_fold,inner_fold,C,weighting,feature_count,file_macro_f1,recall_OR,recall_IR,recall_B,recall_N,train_time_s,convergence_warnings
2,2,1.0,file_and_class_balanced,19,0.7142857142857143,1.0,1.0,1.0,0.0,0.005236768000003167,0
2,0,10.0,file_balanced,20,0.8184523809523809,0.5,1.0,1.0,1.0,0.005869832999991331,0
2,1,10.0,file_balanced,20,0.8095238095238095,0.6,0.6666666666666666,1.0,1.0,0.004411051999994697,0
2,2,10.0,file_balanced,19,0.6415584415584416,1.0,1.0,0.6666666666666666,0.0,0.00678116800000339,0
2,0,10.0,file_and_class_balanced,20,0.8184523809523809,0.5,1.0,1.0,1.0,0.0062888850000035745,0
2,1,10.0,file_and_class_balanced,20,0.8095238095238095,0.6,0.6666666666666666,1.0,1.0,0.004664164999979903,0
2,2,10.0,file_and_class_balanced,19,0.7142857142857143,1.0,1.0,1.0,0.0,0.007117563999997856,0
3,0,0.1,file_balanced,20,0.75,0.6666666666666666,0.3333333333333333,1.0,1.0,0.0044091900000182704,0
3,1,0.1,file_balanced,19,0.8165584415584415,1.0,1.0,0.3333333333333333,1.0,0.004396030000009432,0
3,2,0.1,file_balanced,20,0.5583333333333333,1.0,0.3333333333333333,1.0,0.0,0.00815524000000778,0
3,0,0.1,file_and_class_balanced,20,0.8246753246753247,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0041352560000120775,0
3,1,0.1,file_and_class_balanced,19,0.8165584415584415,1.0,1.0,0.3333333333333333,1.0,0.0038424560000009933,0
3,2,0.1,file_and_class_balanced,20,0.4976190476190476,0.8,0.3333333333333333,1.0,0.0,0.0042725229999973635,0
3,0,1.0,file_balanced,20,0.8246753246753247,0.6666666666666666,0.6666666666666666,1.0,1.0,0.006199890999994295,0
3,1,1.0,file_balanced,19,0.8333333333333334,1.0,1.0,0.3333333333333333,1.0,0.008308861000017487,0
3,2,1.0,file_balanced,20,0.5583333333333333,1.0,0.3333333333333333,1.0,0.0,0.006736519999975599,0
3,0,1.0,file_and_class_balanced,20,0.8127705627705628,0.6666666666666666,0.6666666666666666,1.0,1.0,0.005169555999998465,0
3,1,1.0,file_and_class_balanced,19,0.8333333333333334,1.0,1.0,0.3333333333333333,1.0,0.0049113470000179404,0
3,2,1.0,file_and_class_balanced,20,0.5151515151515151,0.8,0.3333333333333333,1.0,0.0,0.005591713000001164,0
3,0,10.0,file_balanced,20,0.8127705627705628,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0058344990000023245,0
3,1,10.0,file_balanced,19,0.7818181818181819,0.8,1.0,0.3333333333333333,1.0,0.00774407900001961,0
3,2,10.0,file_balanced,20,0.5151515151515151,0.8,0.3333333333333333,1.0,0.0,0.006165859000020646,0
3,0,10.0,file_and_class_balanced,20,0.8127705627705628,0.6666666666666666,0.6666666666666666,1.0,1.0,0.005147542999992538,0
3,1,10.0,file_and_class_balanced,19,0.7818181818181819,0.8,1.0,0.3333333333333333,1.0,0.007665250999991713,0
3,2,10.0,file_and_class_balanced,20,0.5151515151515151,0.8,0.3333333333333333,1.0,0.0,0.007080458999979555,0
