outer_fold,inner_fold,max_depth,weighting,file_macro_f1,recall_OR,recall_IR,recall_B,recall_N,train_time_s
3,1,8,file_and_class_balanced,0.9272727272727272,1.0,1.0,0.6666666666666666,1.0,0.2365226580000126
3,2,8,file_and_class_balanced,0.9365079365079365,0.8,1.0,1.0,1.0,0.22797127300000852
3,0,16,file_balanced,0.8726190476190476,0.8333333333333334,0.6666666666666666,1.0,1.0,0.22544960100000822
3,1,16,file_balanced,0.9272727272727272,1.0,1.0,0.6666666666666666,1.0,0.2488607519999846
3,2,16,file_balanced,0.8660714285714286,0.6,1.0,1.0,1.0,0.23053651200001468
3,0,16,file_and_class_balanced,0.9307692307692308,1.0,0.6666666666666666,1.0,1.0,0.2241674570000214
3,1,16,file_and_class_balanced,0.9272727272727272,1.0,1.0,0.6666666666666666,1.0,0.23250822399998583
3,2,16,file_and_class_balanced,0.9365079365079365,0.8,1.0,1.0,1.0,0.2336928109999974
3,0,None,file_balanced,0.8726190476190476,0.8333333333333334,0.6666666666666666,1.0,1.0,0.23104747099998235
3,1,None,file_balanced,0.9272727272727272,1.0,1.0,0.6666666666666666,1.0,0.243855735000011
3,2,None,file_balanced,0.8660714285714286,0.6,1.0,1.0,1.0,0.22578479700001708
3,0,None,file_and_class_balanced,0.9307692307692308,1.0,0.6666666666666666,1.0,1.0,0.22317655300000183
3,1,None,file_and_class_balanced,0.9272727272727272,1.0,1.0,0.6666666666666666,1.0,0.23287128100000132
3,2,None,file_and_class_balanced,0.9365079365079365,0.8,1.0,1.0,1.0,0.2243254760000184
