outer_test_load,macro_f1,model,rep
,0.908041958041958,RF_file_bootstrap,106.0
,0.924025974025974,RF_file_bootstrap,107.0
,0.9520933977455716,RF_file_bootstrap,108.0
,0.8792819499341238,RF_file_bootstrap,109.0
,0.9580712788259956,RF_file_bootstrap,110.0
,0.8963113104479328,RF_file_bootstrap,111.0
,0.9392652056720966,RF_file_bootstrap,112.0
,0.9365079365079364,RF_file_bootstrap,113.0
,0.92,RF_file_bootstrap,114.0
,0.9791304347826086,RF_file_bootstrap,115.0
,0.908041958041958,RF_file_bootstrap,116.0
,0.945054945054945,RF_file_bootstrap,117.0
,0.908041958041958,RF_file_bootstrap,118.0
,0.9026788218793828,RF_file_bootstrap,119.0
,0.9520933977455716,RF_file_bootstrap,120.0
,0.945054945054945,RF_file_bootstrap,121.0
,0.9119230067505928,RF_file_bootstrap,122.0
,0.945054945054945,RF_file_bootstrap,123.0
,0.945054945054945,RF_file_bootstrap,124.0
,0.9520933977455716,RF_file_bootstrap,125.0
,0.9580712788259956,RF_file_bootstrap,126.0
,0.9323867478025692,RF_file_bootstrap,127.0
,0.9520933977455716,RF_file_bootstrap,128.0
,0.9392652056720966,RF_file_bootstrap,129.0
,0.9267962172759774,RF_file_bootstrap,130.0
,0.9119230067505928,RF_file_bootstrap,131.0
,0.9392652056720966,RF_file_bootstrap,132.0
,0.9322991822991824,RF_file_bootstrap,133.0
,0.958041958041958,RF_file_bootstrap,134.0
,0.9078341013824884,RF_file_bootstrap,135.0
,0.9580712788259956,RF_file_bootstrap,136.0
,0.9580712788259956,RF_file_bootstrap,137.0
,0.9323867478025692,RF_file_bootstrap,138.0
,0.9854545454545456,RF_file_bootstrap,139.0
,0.924025974025974,RF_file_bootstrap,140.0
,0.9267962172759774,RF_file_bootstrap,141.0
,0.945054945054945,RF_file_bootstrap,142.0
,0.9854545454545456,RF_file_bootstrap,143.0
,0.9580712788259956,RF_file_bootstrap,144.0
,0.9322991822991824,RF_file_bootstrap,145.0
,0.945054945054945,RF_file_bootstrap,146.0
,0.9653542110063849,RF_file_bootstrap,147.0
,0.9653542110063849,RF_file_bootstrap,148.0
,0.945054945054945,RF_file_bootstrap,149.0
,0.9267962172759774,RF_file_bootstrap,150.0
,0.9392652056720966,RF_file_bootstrap,151.0
,0.9520933977455716,RF_file_bootstrap,152.0
,0.9392652056720966,RF_file_bootstrap,153.0
,0.9715099715099716,RF_file_bootstrap,154.0
,0.9715099715099716,RF_file_bootstrap,155.0
,0.9715099715099716,RF_file_bootstrap,156.0
,0.9323867478025692,RF_file_bootstrap,157.0
,0.945054945054945,RF_file_bootstrap,158.0
,0.9392652056720966,RF_file_bootstrap,159.0
,0.9520933977455716,RF_file_bootstrap,160.0
,0.9200183356006388,RF_file_bootstrap,161.0
,0.9200183356006388,RF_file_bootstrap,162.0
,0.91462063086104,RF_file_bootstrap,163.0
,0.9267962172759774,RF_file_bootstrap,164.0
,0.9392652056720966,RF_file_bootstrap,165.0
,0.9392652056720966,RF_file_bootstrap,166.0
,0.9715099715099716,RF_file_bootstrap,167.0
,1.0,RF_file_bootstrap,168.0
,0.9392652056720966,RF_file_bootstrap,169.0
,0.92,RF_file_bootstrap,170.0
,0.9267962172759774,RF_file_bootstrap,171.0
,0.9200183356006388,RF_file_bootstrap,172.0
,0.9392652056720966,RF_file_bootstrap,173.0
,0.9653542110063849,RF_file_bootstrap,174.0
,0.9580712788259956,RF_file_bootstrap,175.0
,0.945054945054945,RF_file_bootstrap,176.0
,0.92,RF_file_bootstrap,177.0
,0.9267962172759774,RF_file_bootstrap,178.0
,0.9200183356006388,RF_file_bootstrap,179.0
,0.91462063086104,RF_file_bootstrap,180.0
,0.9267962172759774,RF_file_bootstrap,181.0
,0.9392652056720966,RF_file_bootstrap,182.0
,0.945054945054945,RF_file_bootstrap,183.0
,0.9323867478025692,RF_file_bootstrap,184.0
,0.9715099715099716,RF_file_bootstrap,185.0
,0.908041958041958,RF_file_bootstrap,186.0
,1.0,RF_file_bootstrap,187.0
,0.8733766233766234,RF_file_bootstrap,188.0
,0.9200183356006388,RF_file_bootstrap,189.0
,0.9715099715099716,RF_file_bootstrap,190.0
,0.9520933977455716,RF_file_bootstrap,191.0
,0.908041958041958,RF_file_bootstrap,192.0
,0.9267962172759774,RF_file_bootstrap,193.0
,0.9322991822991824,RF_file_bootstrap,194.0
,0.9791304347826086,RF_file_bootstrap,195.0
,0.9715099715099716,RF_file_bootstrap,196.0
,0.91462063086104,RF_file_bootstrap,197.0
,0.9200183356006388,RF_file_bootstrap,198.0
,0.9267962172759774,RF_file_bootstrap,199.0
,0.9392652056720966,RF_file_bootstrap,200.0
,0.9653542110063849,RF_file_bootstrap,201.0
,0.8886033321517193,RF_file_bootstrap,202.0
,0.9520933977455716,RF_file_bootstrap,203.0
,0.9580712788259956,RF_file_bootstrap,204.0
,0.9520933977455716,RF_file_bootstrap,205.0
,0.9392652056720966,RF_file_bootstrap,206.0
,0.944949494949495,RF_file_bootstrap,207.0
,0.9392652056720966,RF_file_bootstrap,208.0
,0.8886033321517193,RF_file_bootstrap,209.0
,0.944949494949495,RF_file_bootstrap,210.0
,0.9580712788259956,RF_file_bootstrap,211.0
,0.9267962172759774,RF_file_bootstrap,212.0
,0.9267962172759774,RF_file_bootstrap,213.0
,0.9580712788259956,RF_file_bootstrap,214.0
,0.9854545454545456,RF_file_bootstrap,215.0
,0.9200183356006388,RF_file_bootstrap,216.0
,0.9267962172759774,RF_file_bootstrap,217.0
,0.9791304347826086,RF_file_bootstrap,218.0
,0.9392652056720966,RF_file_bootstrap,219.0
,0.9580712788259956,RF_file_bootstrap,220.0
,0.9854545454545456,RF_file_bootstrap,221.0
,0.9653542110063849,RF_file_bootstrap,222.0
,0.9580712788259956,RF_file_bootstrap,223.0
,0.9392652056720966,RF_file_bootstrap,224.0
,1.0,RF_file_bootstrap,225.0
,0.9715099715099716,RF_file_bootstrap,226.0
,0.944949494949495,RF_file_bootstrap,227.0
,0.9715099715099716,RF_file_bootstrap,228.0
,0.945054945054945,RF_file_bootstrap,229.0
,0.9323867478025692,RF_file_bootstrap,230.0
,0.9520933977455716,RF_file_bootstrap,231.0
,0.9580712788259956,RF_file_bootstrap,232.0
,0.9715099715099716,RF_file_bootstrap,233.0
,0.9580712788259956,RF_file_bootstrap,234.0
,0.9078341013824884,RF_file_bootstrap,235.0
,0.9392652056720966,RF_file_bootstrap,236.0
,0.9653542110063849,RF_file_bootstrap,237.0
,0.8847727272727273,RF_file_bootstrap,238.0
,0.91462063086104,RF_file_bootstrap,239.0
,0.9392652056720966,RF_file_bootstrap,240.0
,0.9323867478025692,RF_file_bootstrap,241.0
,0.9392652056720966,RF_file_bootstrap,242.0
,0.9580712788259956,RF_file_bootstrap,243.0
,0.9715099715099716,RF_file_bootstrap,244.0
,0.9854545454545456,RF_file_bootstrap,245.0
,0.8886033321517193,RF_file_bootstrap,246.0
,0.8886033321517193,RF_file_bootstrap,247.0
,0.9322991822991824,RF_file_bootstrap,248.0
,0.908041958041958,RF_file_bootstrap,249.0
,0.958041958041958,RF_file_bootstrap,250.0
,0.9653542110063849,RF_file_bootstrap,251.0
,0.9119230067505928,RF_file_bootstrap,252.0
,0.9791304347826086,RF_file_bootstrap,253.0
,0.8886033321517193,RF_file_bootstrap,254.0
,0.8772759103641457,RF_file_bootstrap,255.0
,0.9267962172759774,RF_file_bootstrap,256.0
,0.9520933977455716,RF_file_bootstrap,257.0
,0.8847727272727273,RF_file_bootstrap,258.0
,0.9200183356006388,RF_file_bootstrap,259.0
,0.91462063086104,RF_file_bootstrap,260.0
,0.9323867478025692,RF_file_bootstrap,261.0
,0.908041958041958,RF_file_bootstrap,262.0
,0.9520933977455716,RF_file_bootstrap,263.0
,0.9653542110063849,RF_file_bootstrap,264.0
,0.9078341013824884,RF_file_bootstrap,265.0
,0.9653542110063849,RF_file_bootstrap,266.0
,0.9854545454545456,RF_file_bootstrap,267.0
,0.8963113104479328,RF_file_bootstrap,268.0
,0.9323867478025692,RF_file_bootstrap,269.0
,0.9200183356006388,RF_file_bootstrap,270.0
,0.8772759103641457,RF_file_bootstrap,271.0
,0.9580712788259956,RF_file_bootstrap,272.0
,0.9026788218793828,RF_file_bootstrap,273.0
,0.9715099715099716,RF_file_bootstrap,274.0
,0.9392652056720966,RF_file_bootstrap,275.0
,0.8793974437005478,RF_file_bootstrap,276.0
,0.9392652056720966,RF_file_bootstrap,277.0
,0.9854545454545456,RF_file_bootstrap,278.0
,0.9322991822991824,RF_file_bootstrap,279.0
,0.9854545454545456,RF_file_bootstrap,280.0
,0.9715099715099716,RF_file_bootstrap,281.0
,0.91462063086104,RF_file_bootstrap,282.0
,0.9267962172759774,RF_file_bootstrap,283.0
,0.9791304347826086,RF_file_bootstrap,284.0
,0.91462063086104,RF_file_bootstrap,285.0
,0.945054945054945,RF_file_bootstrap,286.0
,0.9580712788259956,RF_file_bootstrap,287.0
,0.92,RF_file_bootstrap,288.0
,0.9520933977455716,RF_file_bootstrap,289.0
,0.8772759103641457,RF_file_bootstrap,290.0
,0.9715099715099716,RF_file_bootstrap,291.0
,0.945054945054945,RF_file_bootstrap,292.0
,0.9791304347826086,RF_file_bootstrap,293.0
,0.9715099715099716,RF_file_bootstrap,294.0
,0.8793974437005478,RF_file_bootstrap,295.0
,0.9322991822991824,RF_file_bootstrap,296.0
,0.9267962172759774,RF_file_bootstrap,297.0
,0.9653542110063849,RF_file_bootstrap,298.0
,0.9392652056720966,RF_file_bootstrap,299.0
,0.9580712788259956,RF_file_bootstrap,300.0
,0.908041958041958,RF_file_bootstrap,301.0
,0.9520933977455716,RF_file_bootstrap,302.0
,0.9854545454545456,RF_file_bootstrap,303.0
,0.9392652056720966,RF_file_bootstrap,304.0
,0.8772759103641457,RF_file_bootstrap,305.0
,0.9322991822991824,RF_file_bootstrap,306.0
,0.9392652056720966,RF_file_bootstrap,307.0
,0.9392652056720966,RF_file_bootstrap,308.0
,0.9520933977455716,RF_file_bootstrap,309.0
,0.9791304347826086,RF_file_bootstrap,310.0
,0.958041958041958,RF_file_bootstrap,311.0
,0.9653542110063849,RF_file_bootstrap,312.0
,0.8573083778966133,RF_file_bootstrap,313.0
,0.908041958041958,RF_file_bootstrap,314.0
,0.9520933977455716,RF_file_bootstrap,315.0
,1.0,RF_file_bootstrap,316.0
,0.9322991822991824,RF_file_bootstrap,317.0
,0.8573083778966133,RF_file_bootstrap,318.0
,0.9323867478025692,RF_file_bootstrap,319.0
,0.9267962172759774,RF_file_bootstrap,320.0
,0.8733766233766234,RF_file_bootstrap,321.0
,0.9854545454545456,RF_file_bootstrap,322.0
,0.9854545454545456,RF_file_bootstrap,323.0
,0.8907407407407408,RF_file_bootstrap,324.0
,0.9653542110063849,RF_file_bootstrap,325.0
,0.9200183356006388,RF_file_bootstrap,326.0
,0.9520933977455716,RF_file_bootstrap,327.0
,0.8963113104479328,RF_file_bootstrap,328.0
,0.91462063086104,RF_file_bootstrap,329.0
,0.8886033321517193,RF_file_bootstrap,330.0
,0.9323867478025692,RF_file_bootstrap,331.0
,0.9392652056720966,RF_file_bootstrap,332.0
,0.8464705882352942,RF_file_bootstrap,333.0
,0.9119230067505928,RF_file_bootstrap,334.0
,0.9267962172759774,RF_file_bootstrap,335.0
,0.9520933977455716,RF_file_bootstrap,336.0
,0.9026788218793828,RF_file_bootstrap,337.0
,0.9791304347826086,RF_file_bootstrap,338.0
,0.9520933977455716,RF_file_bootstrap,339.0
,0.9026788218793828,RF_file_bootstrap,340.0
,0.9322991822991824,RF_file_bootstrap,341.0
,0.9200183356006388,RF_file_bootstrap,342.0
,0.8963113104479328,RF_file_bootstrap,343.0
,0.908041958041958,RF_file_bootstrap,344.0
,0.945054945054945,RF_file_bootstrap,345.0
,0.8963113104479328,RF_file_bootstrap,346.0
,0.9854545454545456,RF_file_bootstrap,347.0
,0.945054945054945,RF_file_bootstrap,348.0
,0.9392652056720966,RF_file_bootstrap,349.0
,0.944949494949495,RF_file_bootstrap,350.0
,0.9267962172759774,RF_file_bootstrap,351.0
,0.9791304347826086,RF_file_bootstrap,352.0
,0.9001347708894878,RF_file_bootstrap,353.0
,0.9854545454545456,RF_file_bootstrap,354.0
,0.9580712788259956,RF_file_bootstrap,355.0
,0.890916149068323,RF_file_bootstrap,356.0
,0.908041958041958,RF_file_bootstrap,357.0
,0.9323867478025692,RF_file_bootstrap,358.0
,0.9580712788259956,RF_file_bootstrap,359.0
,0.9580712788259956,RF_file_bootstrap,360.0
,0.945054945054945,RF_file_bootstrap,361.0
,0.9580712788259956,RF_file_bootstrap,362.0
,0.8963113104479328,RF_file_bootstrap,363.0
,0.945054945054945,RF_file_bootstrap,364.0
,0.9653542110063849,RF_file_bootstrap,365.0
,1.0,RF_file_bootstrap,366.0
,0.9392652056720966,RF_file_bootstrap,367.0
,0.9322991822991824,RF_file_bootstrap,368.0
,0.92,RF_file_bootstrap,369.0
,0.945054945054945,RF_file_bootstrap,370.0
,0.8886033321517193,RF_file_bootstrap,371.0
,0.9715099715099716,RF_file_bootstrap,372.0
,0.9322991822991824,RF_file_bootstrap,373.0
,0.945054945054945,RF_file_bootstrap,374.0
,0.91462063086104,RF_file_bootstrap,375.0
,0.9653542110063849,RF_file_bootstrap,376.0
,0.9715099715099716,RF_file_bootstrap,377.0
,0.9854545454545456,RF_file_bootstrap,378.0
,0.9520933977455716,RF_file_bootstrap,379.0
,0.9365079365079364,RF_file_bootstrap,380.0
,0.9392652056720966,RF_file_bootstrap,381.0
,0.9653542110063849,RF_file_bootstrap,382.0
,0.91462063086104,RF_file_bootstrap,383.0
,0.9715099715099716,RF_file_bootstrap,384.0
,0.944949494949495,RF_file_bootstrap,385.0
