plan,files,windows,macro_f1,accuracy,min_class_recall,recall_OR,recall_IR,recall_B,recall_N,mmd2_biased
MVP,49,733,0.9508739837398374,0.9387755102040817,0.9047619047619048,0.9047619047619048,0.9166666666666666,1.0,1.0,0.7922234132610404
alternative,109,1633,0.9562356591151472,0.944954128440367,0.9285714285714286,0.9387755102040817,0.9285714285714286,0.9642857142857143,1.0,0.7265208821280266
all_source,161,1979,0.9482950974230044,0.937888198757764,0.922077922077922,0.922077922077922,0.95,0.95,1.0,0.7285708291438756
